"month","referrals","waiting_list","waits_over_18w","median_wait_weeks","appointments","discharges"
"2025-04",142,198,28,11.2,420,118
"2025-05",156,205,32,11.8,435,125
"2025-06",148,212,35,12.1,428,122
"2025-07",163,218,38,12.5,445,130
"2025-08",171,225,42,13,450,128
"2025-09",159,230,45,13.4,442,135
"2025-10",168,228,44,13.1,455,132
"2025-11",174,222,40,12.6,460,138
"2025-12",180,215,36,12,448,140
"2026-01",165,208,32,11.5,440,133
"2026-02",158,200,28,11,432,128
"2026-03",152,195,25,10.8,425,122
