"month","referrals","caseload","contacts","median_wait_weeks","dna_rate_pct","capacity_pressure_index"
"2025-04",890,3200,4100,6.2,8.2,72
"2025-05",920,3250,4180,6.5,8.5,74
"2025-06",905,3280,4150,6.8,8.1,76
"2025-07",940,3310,4220,7,8.8,78
"2025-08",955,3340,4280,7.2,9,80
"2025-09",930,3360,4250,7.1,8.6,79
"2025-10",960,3350,4300,6.9,8.4,77
"2025-11",975,3320,4320,6.7,8.3,75
"2025-12",950,3290,4280,6.5,8,73
"2026-01",935,3260,4200,6.3,7.8,71
"2026-02",910,3230,4150,6.1,7.6,70
"2026-03",895,3200,4100,6,7.5,68
