"Period","Provider Parent Org Code","Provider Parent Name","Provider Org Code","Provider Org Name","Commissioner Parent Org Code","Commissioner Parent Name","Commissioner Org Code","Commissioner Org Name","_demo_source","_synthetic"
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
"DM01-MARCH-2026","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J","dm01_monthly",FALSE
