"Organisation_Code","Sector","Number_Of_Beds","Effective_Snapshot_Date","_demo_source","_synthetic"
"RDY","Mental Illness",93,"30/06/2012","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/06/2012","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/09/2020","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/09/2020","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/03/2019","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/06/2012","kh03_quarterly",FALSE
"RDY","Mental Illness",215.445652,"30/09/2020","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/09/2020","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/09/2019","kh03_quarterly",FALSE
"RDY","Mental Illness",235.032609,"30/09/2019","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"31/03/2019","kh03_quarterly",FALSE
"RDY","General & Acute",0,"31/03/2019","kh03_quarterly",FALSE
"RDY","Mental Illness",235,"31/03/2019","kh03_quarterly",FALSE
"RDY","Mental Illness",175.692308,"30/06/2023","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/06/2023","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/06/2023","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/06/2023","kh03_quarterly",FALSE
"RDY","Mental Illness",295,"31/03/2007","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/03/2007","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/09/2019","kh03_quarterly",FALSE
"RDY","Mental Illness",76.455556,"31/03/2013","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/09/2019","kh03_quarterly",FALSE
"RDY","Mental Illness",233.593407,"31/03/2020","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/03/2013","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"31/03/2013","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/03/2020","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"31/03/2020","kh03_quarterly",FALSE
"RDY","General & Acute",0,"31/03/2013","kh03_quarterly",FALSE
"RDY","Mental Illness",227,"31/03/2016","kh03_quarterly",FALSE
"RDY","General & Acute",0,"31/03/2020","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/06/2014","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"31/03/2016","kh03_quarterly",FALSE
"RDY","Mental Illness",203,"30/06/2024","kh03_quarterly",FALSE
"RDY","General & Acute",0,"31/03/2016","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/03/2016","kh03_quarterly",FALSE
"RDY","Mental Illness",199.021978,"30/06/2021","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/06/2021","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/06/2014","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/06/2021","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/06/2014","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/06/2021","kh03_quarterly",FALSE
"RDY","Mental Illness",0,"30/06/2014","kh03_quarterly",FALSE
"RDY","Mental Illness",229.065217,"30/09/2017","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"31/12/2018","kh03_quarterly",FALSE
"RDY","Maternity",0,"30/09/2017","kh03_quarterly",FALSE
"RDY","General & Acute",0,"31/12/2018","kh03_quarterly",FALSE
"RDY","Learning Disabilities",0,"30/09/2017","kh03_quarterly",FALSE
"RDY","Mental Illness",232.934783,"31/12/2018","kh03_quarterly",FALSE
"RDY","Maternity",0,"31/12/2018","kh03_quarterly",FALSE
"RDY","General & Acute",0,"30/09/2017","kh03_quarterly",FALSE
