"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE","_demo_source","_synthetic"
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","03N","NHS SOUTH YORKSHIRE ICB - 03N","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","10R","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - 10R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","11J","NHS DORSET ICB - 11J","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","1495","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","11X","NHS SOMERSET ICB - 11X","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","91Q","NHS KENT AND MEDWAY ICB - 91Q","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","92G","NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE ICB - 92G","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","97R","NHS SURREY AND SUSSEX ICB - 97R","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","D9Y0V","NHS HAMPSHIRE AND ISLE OF WIGHT ICB - D9Y0V","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Sub ICB - GP Practice or Residence; Provider","UNKNOWN","UNKNOWN","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","*","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","A","Primary Health Care","MHS32a","Referrals starting in RP, aged 0 to 18","175","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","B","Self Referral","MHS32a","Referrals starting in RP, aged 0 to 18","65","mhsds_monthly",FALSE
"01/04/2026","30/04/2026","Performance","Provider; Referral Source","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","C","Local Authority Services","MHS32a","Referrals starting in RP, aged 0 to 18","185","mhsds_monthly",FALSE
