"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","02","Assessment","","",4485,1445,1170,1875
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","03","Clinical Intervention","","",6115,1655,1710,2750
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","04","Counselling, Advice, Support","","",1560,1010,205,345
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","05","Patient Specific Health Promotion","","",585,280,225,85
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","06","Multidisciplinary Team Review","","",30,10,15,5
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","07","Supporting Another Clinician","","",5,0,5,0
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","08","Health Visitor New Birth Visit","","",350,350,0,0
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","09","Health Visitor Health Review (6-8 weeks)","","",410,410,0,0
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","10","Health Visitor Health Review (1  year)","","",395,395,0,0
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","11","Health Visitor Health Review (2-2.5 years)","","",330,330,0,0
"2026-01-01","2026-01-31","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","97","Other","","",10470,1280,3755,5435
