"ReportingPeriodStartDate","ReportingPeriodEndDate","Org_Code","DataTable","UID","DataItem","Valid","Default","Invalid","Missing","Denominator"
"2026-03-01","2026-03-31","RDY","All","All","Organisation Submission",1,0,0,0,1
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000010","DATA SET VERSION NUMBER",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000020","ORGANISATION IDENTIFIER (CODE OF PROVIDER)",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000030","ORGANISATION IDENTIFIER (CODE OF SUBMITTING ORGANISATION)",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000040","REPORTING PERIOD START DATE",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000050","REPORTING PERIOD END DATE",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000060","DATE AND TIME DATA SET CREATED",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","C000070","PRIMARY DATA COLLECTION SYSTEM IN USE",5,0,0,0,5
"2026-03-01","2026-03-31","RDY","CYP000 CSDS Header","CYP000","CYP000 Table Submission",1,0,0,0,1
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001010","ORGANISATION IDENTIFIER (LOCAL PATIENT IDENTIFIER)",231430,0,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001030","ORGANISATION IDENTIFIER (EDUCATIONAL ESTABLISHMENT)",77120,0,0,154310,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001040","NHS NUMBER",231265,0,0,165,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001050","NHS NUMBER STATUS INDICATOR CODE",231430,0,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001060","PERSON BIRTH DATE",231430,0,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001070","POSTCODE OF USUAL ADDRESS",231430,0,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001080","PERSON STATED GENDER CODE",231420,5,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001090","ETHNIC CATEGORY",56670,174760,0,0,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001100","LANGUAGE CODE (PREFERRED)",0,0,0,231430,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001110","PERSON RELATIONSHIP (MAIN CARER)",0,0,0,231430,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001120","HEALTH VISITOR FIRST ANTENATAL VISIT DATE",0,0,0,231430,231430
"2026-03-01","2026-03-31","RDY","CYP001 Master Patient Index and Risk Indicators","C001130","LOOKED AFTER CHILD INDICATOR",154485,0,0,1685,156175
