"REPORTING_PERIOD_START","REPORTING_PERIOD_END","ORG_CODE","ORG_NAME","ORG_LEVEL","DIMENSION","COUNT_OF","MEASURE","MEASURE_DESC","MEASURE_2","MEASURE_2_DESC","MEASURE_VALUE","MEASURE_VALUE_0_18","MEASURE_VALUE_19_64","MEASURE_VALUE_65_PLUS"
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","02","Assessment","","",4230,1375,1120,1730
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","03","Clinical Intervention","","",6360,1840,1835,2685
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","04","Counselling, Advice, Support","","",1560,965,210,385
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","05","Patient Specific Health Promotion","","",710,350,240,120
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","06","Multidisciplinary Team Review","","",15,15,5,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","08","Health Visitor New Birth Visit","","",365,365,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","09","Health Visitor Health Review (6-8 weeks)","","",370,370,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","10","Health Visitor Health Review (1  year)","","",375,375,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","11","Health Visitor Health Review (2-2.5 years)","","",360,360,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","ActivityType","CareActivities","97","Other","","",9605,1170,3570,4865
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","0 to 4","","","",1850,1850,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","10 to 14","","","",535,535,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","100 to 104","","","",25,0,0,25
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","105 to 109","","","",5,0,0,5
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","15 to 19","","","",410,285,125,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","20 to 24","","","",170,0,170,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","25 to 29","","","",230,0,230,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","30 to 34","","","",330,0,330,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","35 to 39","","","",275,0,275,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","40 to 44","","","",225,0,225,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","45 to 49","","","",240,0,240,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","5 to 9","","","",370,370,0,0
"2025-11-01","2025-11-30","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Provider","AgeYr_Referral_ReceivedDate","PatientWithReferral","50 to 54","","","",275,0,275,0
