"Period","Provider Parent Org Code","Provider Parent Name","Provider Org Code","Provider Org Name","Commissioner Parent Org Code","Commissioner Parent Name","Commissioner Org Code","Commissioner Org Name","Diagnostic Tests Sort Order","Diagnostic Tests","00 < 01 Week","01 < 02 Weeks","02 < 03 Weeks","03 < 04 Weeks","04 < 05 Weeks","05 < 06 Weeks","06 < 07 Weeks","07 < 08 Weeks","08 < 09 Weeks","09 < 10 Weeks","10 < 11 Weeks","11 < 12 Weeks","12 < 13 Weeks","13+ Weeks","Total WL","Waiting List Activity","Planned Activity","Unscheduled Activity","Total Activity"
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",1,"MRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",2,"CT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",3,"NON_OBSTETRIC_ULTRASOUND",5,5,12,5,5,15,0,0,0,0,0,0,0,0,47,322,0,0,322
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",4,"BARIUM_ENEMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",5,"DEXA_SCAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",6,"AUDIOLOGY_ASSESSMENTS",325,288,284,265,190,126,63,12,4,3,8,6,6,2,1582,1385,0,0,1385
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",7,"ECHOCARDIOGRAPHY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",8,"ELECTROPHYSIOLOGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",9,"PERIPHERAL_NEUROPHYS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",10,"SLEEP_STUDIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",11,"URODYNAMICS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",12,"COLONOSCOPY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",13,"FLEXI_SIGMOIDOSCOPY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",14,"CYSTOSCOPY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",15,"GASTROSCOPY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DM01-FEBRUARY-2025","QVV","NHS DORSET INTEGRATED CARE BOARD","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","QVV","NHS DORSET INTEGRATED CARE BOARD","11J","NHS DORSET ICB - 11J",16,"TOTAL",330,293,296,270,195,141,63,12,4,3,8,6,6,2,1629,1707,0,0,1707
