"Organisation_Code","Sector","Number_Of_Beds","Effective_Snapshot_Date"
"RDY","Mental Illness","93","30/06/2012"
"RDY","Maternity","0","30/06/2012"
"RDY","Maternity","0","30/09/2020"
"RDY","General & Acute","0","30/09/2020"
"RDY","Maternity","0","31/03/2019"
"RDY","Learning Disabilities","0","30/06/2012"
"RDY","Mental Illness","215.445652","30/09/2020"
"RDY","Learning Disabilities","0","30/09/2020"
"RDY","Maternity","0","30/09/2019"
"RDY","Mental Illness","235.032609","30/09/2019"
"RDY","Learning Disabilities","0","31/03/2019"
"RDY","General & Acute","0","31/03/2019"
"RDY","Mental Illness","235","31/03/2019"
"RDY","Mental Illness","175.692308","30/06/2023"
"RDY","Maternity","0","30/06/2023"
"RDY","Learning Disabilities","0","30/06/2023"
"RDY","General & Acute","0","30/06/2023"
"RDY","Mental Illness","295","31/03/2007"
"RDY","Maternity","0","31/03/2007"
"RDY","Learning Disabilities","0","30/09/2019"
"RDY","Mental Illness","76.455556","31/03/2013"
"RDY","General & Acute","0","30/09/2019"
"RDY","Mental Illness","233.593407","31/03/2020"
"RDY","Maternity","0","31/03/2013"
"RDY","Learning Disabilities","0","31/03/2013"
"RDY","Maternity","0","31/03/2020"
"RDY","Learning Disabilities","0","31/03/2020"
"RDY","General & Acute","0","31/03/2013"
"RDY","Mental Illness","227","31/03/2016"
"RDY","General & Acute","0","31/03/2020"
"RDY","Maternity","0","30/06/2014"
"RDY","Learning Disabilities","0","31/03/2016"
"RDY","Mental Illness","203","30/06/2024"
"RDY","General & Acute","0","31/03/2016"
"RDY","Maternity","0","31/03/2016"
"RDY","Mental Illness","199.021978","30/06/2021"
"RDY","Maternity","0","30/06/2021"
"RDY","Learning Disabilities","0","30/06/2014"
"RDY","Learning Disabilities","0","30/06/2021"
"RDY","General & Acute","0","30/06/2014"
"RDY","General & Acute","0","30/06/2021"
"RDY","Mental Illness","0","30/06/2014"
"RDY","Mental Illness","229.065217","30/09/2017"
"RDY","Learning Disabilities","0","31/12/2018"
"RDY","Maternity","0","30/09/2017"
"RDY","General & Acute","0","31/12/2018"
"RDY","Learning Disabilities","0","30/09/2017"
"RDY","Mental Illness","232.934783","31/12/2018"
"RDY","Maternity","0","31/12/2018"
"RDY","General & Acute","0","30/09/2017"
"RDY","Mental Illness","0","31/12/2013"
"RDY","Maternity","0","31/12/2013"
"RDY","Learning Disabilities","0","31/12/2013"
"RDY","General & Acute","0","31/12/2013"
"RDY","Maternity","0","31/03/2003"
"RDY","Mental Illness","334","31/03/2003"
"RDY","Learning Disabilities","0","31/12/2014"
"RDY","General & Acute","0","31/12/2014"
"RDY","Maternity","0","30/09/2012"
"RDY","Mental Illness","0","31/12/2014"
"RDY","Maternity","0","31/12/2014"
"RDY","Learning Disabilities","0","30/09/2012"
"RDY","General & Acute","0","30/06/2019"
"RDY","Maternity","0","30/06/2019"
"RDY","General & Acute","0","30/09/2012"
"RDY","Learning Disabilities","0","30/06/2019"
"RDY","General & Acute","0","30/06/2012"
"RDY","General & Acute","0","30/09/2022"
"RDY","Mental Illness","200","30/09/2022"
"RDY","Maternity","0","30/09/2022"
"RDY","Learning Disabilities","0","30/09/2022"
"RDY","Learning Disabilities","0","31/12/2012"
"RDY","General & Acute","0","31/12/2012"
"RDY","Mental Illness","90","30/09/2012"
"RDY","Mental Illness","90","31/12/2012"
"RDY","Maternity","0","31/12/2012"
"RDY","Mental Illness","199.659341","30/06/2022"
"RDY","Maternity","0","30/06/2022"
"RDY","Learning Disabilities","0","30/06/2022"
"RDY","General & Acute","0","30/06/2022"
"RDY","Mental Illness","197.913043","30/09/2021"
