"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","1","Awaiting care coordinator allocation","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","2","Awaiting allocation of community psychiatrist","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","3","Awaiting allocation of social worker","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","4","Awaiting public funding or decision from funding panel","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","20"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","5","Awaiting further community or mental health NHS Services not delivered in an acute setting including intermediate care, rehabilitation services, step down service","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","6","Awaiting availability of placement in prison or Immigration Removal Centre","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","7","Awaiting availability of placement in care home without nursing","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","120"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","8","Awaiting availability of placement in care home with nursing","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","100"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","9","Awaiting commencement of care package in usual or temporary place of residence","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","45"
"01/09/2025","30/09/2025","Performance ","Provider; Delayed discharge reason","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","10","Awaiting provision of community equipment and/or adaptations to own home","MHS26","Days of delayed discharge, for patients clinically ready for discharge, in the Reporting Period","*"
