"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","435"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","15"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","60"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","25"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","2195"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03a","Number of Inappropriate OAPs in Adult Acute beds active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04a","Number of Inappropriate OAPs in Adult Acute beds ended in the period","55"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","99","Not Known","OAP01a","Number of Inappropriate new OAPs in Adult Acute beds started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","99","Not Known","OAP02a","Number of Inappropriate OAPs bed days in Adult Acute beds in the period","*"
