"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01","Number of Inappropriate new OAPs started in the period","10"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02","Number of Inappropriate OAPs bed days in the period","435"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/02/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04","Number of Inappropriate OAPs ended in the period","15"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01","Number of Inappropriate new OAPs started in the period","*"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02","Number of Inappropriate OAPs bed days in the period","60"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/04/2026","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04","Number of Inappropriate OAPs ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP01","Number of Inappropriate new OAPs started in the period","45"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP02","Number of Inappropriate OAPs bed days in the period","2195"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","OAP04","Number of Inappropriate OAPs ended in the period","55"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Asian or Asian British","Asian or Asian British","OAP01","Number of Inappropriate new OAPs started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Asian or Asian British","Asian or Asian British","OAP02","Number of Inappropriate OAPs bed days in the period","40"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Asian or Asian British","Asian or Asian British","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Asian or Asian British","Asian or Asian British","OAP04","Number of Inappropriate OAPs ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Black or Black British","Black or Black British","OAP01","Number of Inappropriate new OAPs started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Black or Black British","Black or Black British","OAP02","Number of Inappropriate OAPs bed days in the period","55"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Black or Black British","Black or Black British","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Black or Black British","Black or Black British","OAP04","Number of Inappropriate OAPs ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Mixed","Mixed","OAP01","Number of Inappropriate new OAPs started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Mixed","Mixed","OAP02","Number of Inappropriate OAPs bed days in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Mixed","Mixed","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Mixed","Mixed","OAP04","Number of Inappropriate OAPs ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Not Known","Not Known","OAP01","Number of Inappropriate new OAPs started in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Not Known","Not Known","OAP02","Number of Inappropriate OAPs bed days in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Not Known","Not Known","OAP03","Number of Inappropriate OAPs active at the end of the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Not Known","Not Known","OAP04","Number of Inappropriate OAPs ended in the period","*"
"01/05/2025","30/04/2026","Performance","Sending Provider; Upper Ethnicity","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","Not Stated","Not Stated","OAP01","Number of Inappropriate new OAPs started in the period","*"
