"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"05/01/2016","31/05/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","33355"
"05/01/2016","31/05/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","270"
"05/01/2016","31/05/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","30030"
"06/01/2016","30/06/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","33785"
"06/01/2016","30/06/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","280"
"06/01/2016","30/06/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","30755"
"07/01/2016","31/07/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","33840"
"07/01/2016","31/07/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","280"
"07/01/2016","31/07/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","28140"
"08/01/2016","31/08/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","16345"
"08/01/2016","31/08/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","265"
"08/01/2016","31/08/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","27880"
"09/01/2016","30/09/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","16105"
"09/01/2016","30/09/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","260"
"09/01/2016","30/09/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","29095"
"10/01/2016","31/10/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15920"
"10/01/2016","31/10/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","270"
"10/01/2016","31/10/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","28220"
"11/01/2016","30/11/2016","Final","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People in contact with services at the end of the reporting period","15845"
