"REPORTING_PERIOD_START","REPORTING_PERIOD_END","STATUS","BREAKDOWN","PRIMARY_LEVEL","PRIMARY_LEVEL_DESCRIPTION","SECONDARY_LEVEL","SECONDARY_LEVEL_DESCRIPTION","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS01","People with an open referral with services at the end of the reporting period","21860"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS07","People with an open hospital spell at the end of the reporting period","185"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS24a","Under 16 bed days on adult wards in reporting period","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS24b","Age 16 bed days on adult wards in reporting period","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS24c","Age 17 bed days on adult wards in reporting period","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS29","Contacts in RP","31305"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS69","The number of children and young people, regardless of when their referral started, receiving at least two contacts (including indirect contacts) and where their first contact occurs before their 18th birthday","1505"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS114a","Number of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a parent-rated perspective paired score that showed measurable improvement","5"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS114f","Percentage of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a parent-rated perspective paired score that showed no measurable change","47"
"01/05/2025","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS159","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact with an education-based mental health support team (12 month rolling)","1785"
"01/02/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS105","The number of people discharged in the RP aged 0 to 17 with a length of stay of 90+ days","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","15N","NHS DEVON ICB - 15N","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","01D","NHS GREATER MANCHESTER ICB - 01D","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","99A","NHS CHESHIRE AND MERSEYSIDE ICB - 99A","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/02/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS104","The number of people discharged in the RP aged 0 to 17 with a length of stay of 60+ days","*"
"01/02/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS156g","Total bed days for discharges in the RP for people aged 18 and over from older adult acute beds","4355"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","02P","NHS SOUTH YORKSHIRE ICB - 02P","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS113e","Number of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a self-rated perspective paired score that showed no measurable change","25"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS112","Number of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and any perspective paired score","50"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS111f","Number of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a clinician-rated perspective assessment","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS115e","Number of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a clinician-rated perspective paired score that showed no measurable change","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","15E","NHS BIRMINGHAM AND SOLIHULL ICB - 15E","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","D2P2L","NHS BLACK COUNTRY ICB - D2P2L","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS111c","Percentage of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a self-rated perspective assessment","31"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","91Q","NHS KENT AND MEDWAY ICB - 91Q","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","CCR70a","New Emergency Referrals to Crisis Care teams in the reporting period, Aged 18 and over","*"
"01/04/2026","30/04/2026","Performance","Provider","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","NONE","NONE","MHS114b","Percentage of closed referrals for children and young people aged between 0 and 17 with at least 2 contacts and a parent-rated perspective paired score that showed measurable improvement","40"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","03N","NHS SOUTH YORKSHIRE ICB - 03N","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","*"
"01/05/2025","30/04/2026","Performance","Sub ICB of GP Practice or Residence; Provider","UNKNOWN","UNKNOWN","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","MHS95","Number of CYP aged under 18 supported through NHS funded mental health with at least one contact (12 month rolling)","20"
