"REPORTING_PERIOD_START","REPORTING_PERIOD_END","GROUP_TYPE","ORG_CODE1","ORG_NAME1","ORG_CODE2","ORG_NAME2","MEASURE_ID","MEASURE_NAME","MEASURE_VALUE_SUPPRESSED"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M001","Count_ReferralsReceived","1815"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M002","Count_SelfReferrals","1370"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M003","Count_GPReferrals","80"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M004","Count_HealthVisitorReferrals","10"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M005","Count_OtherPrimaryCareReferrals","125"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M006","Count_CarerReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M007","Count_LAReferrals","5"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M008","Count_EmployerReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M009","Count_JusticeSystemReferrals","10"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M010","Count_ChildHealthReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M011","Count_IndependentVoluntaryReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M012","Count_SecondaryCareReferrals","200"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M013","Count_OtherMHReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M014","Count_InternalReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M017","Count_OtherReferrals","15"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M018","Count_NHSTalkingTherapiesReferrals","*"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M019","Count_OpenReferralNoActivity60days","4705"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M020","Count_OpenReferralNoActivity61to90days","705"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M021","Count_OpenReferralNoActivity91to120days","460"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M022","Count_OpenReferralNoActivityOver120days","910"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M023","Count_FirstAssessment","1360"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M024","Count_FirstAssessment28days","405"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M025","Count_FirstAssessment29to56days","815"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M026","Count_FirstAssessment57to90days","130"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M027","Count_FirstAssessmentOver90days","15"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M028","Count_EndedBeforeAssessment","550"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M029","Count_WaitingForAssessment","2420"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M030","Count_WaitingForAssessmentOver90days","60"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M031","Count_AccessingServices","1375"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M032","Count_AccessingServices28days","410"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M033","Count_AccessingServices29to56days","815"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M034","Count_AccessingServices57to90days","135"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M035","Count_AccessingServicesOver90days","15"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M036","Count_AccessingServices6Weeks","855"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M037","Count_AccessingServices18Weeks","1370"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M038","Count_WaitingForTreatment","2370"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M039","Count_WaitingForTreatment0to2weeks","865"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M040","Count_WaitingForTreatment0to4weeks","1480"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M041","Count_WaitingForTreatment0to6weeks","1960"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M042","Count_WaitingForTreatment0to12weeks","2335"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M043","Count_WaitingForTreatment0to18weeks","2365"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M044","Count_WaitingForTreatmentOver18weeks","5"
"2026-04-01","2026-04-30","Provider","all","all SubICBs","RDY","DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST","M045","Count_WaitingForTreatmentOver90days","30"
