"Status","Date Published"
"2024-25 (version 7) - Standards met","30 June 2025"
"2023-24 (version 6) - Standards met","26 June 2024"
"2023-24 (version 6) - Baseline","29 February 2024"
"2022-23 (version 5) - Standards met","30 June 2023"
"2022-23 (version 5) - Baseline","03 March 2023"
"2021-22 (version 4) - Standards met","30 June 2022"
"2021-22 (version 4) - Baseline","04 March 2022"
"2020-21 (version 3) - Approaching standards","28 July 2021"
"2020-21 (version 3) - Approaching standards","30 June 2021"
"2020-21 (version 3) - Baseline","25 February 2021"
"2019-20 (version 2) - Standards met","28 September 2020"
"2019-20 (version 2) - Baseline","30 October 2019"
"2019-20 (version 2) - Baseline","30 October 2019"
"2018-19 (version 1) - Approaching standards","05 April 2019"
"2018-19 (version 1) - Standards not met","29 March 2019"
"2018-19 (version 1) - Baseline","11 October 2018"
