Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
RE9,General & Acute,413.549451,30/06/2012
RLN,General & Acute,835.318681,30/06/2012
RR7,General & Acute,444,30/06/2012
RTD,General & Acute,1489.120879,30/06/2012
RTF,General & Acute,1070.351648,30/06/2012
RTR,General & Acute,1058.945055,30/06/2012
RVN,Mental Illness,564,30/06/2012
RWV,Mental Illness,279,30/06/2012
RK9,Mental Illness,0,30/06/2012
RN3,Mental Illness,0,30/06/2012
RNZ,Mental Illness,0,30/06/2012
RTE,Mental Illness,0,30/06/2012
RTQ,Mental Illness,217.538462,30/06/2012
RVJ,Mental Illness,23.857143,30/06/2012
RDY,Mental Illness,93,30/06/2012
RDZ,Mental Illness,0,30/06/2012
REF,Mental Illness,0,30/06/2012
RH5,Mental Illness,170.076923,30/06/2012
RH8,Mental Illness,0,30/06/2012
RJ8,Mental Illness,137.076923,30/06/2012
RBA,Mental Illness,0,30/06/2012
RBB,Mental Illness,0,30/06/2012
RBD,Mental Illness,0,30/06/2012
RBZ,Mental Illness,0,30/06/2012
RD1,Mental Illness,0,30/06/2012
RD3,Mental Illness,0,30/06/2012
RXQ,Mental Illness,0,30/06/2012
5QH,Mental Illness,0,30/06/2012
RA3,Mental Illness,0,30/06/2012
RA4,Mental Illness,0,30/06/2012
RA7,Mental Illness,0,30/06/2012
RA9,Mental Illness,0,30/06/2012
RHX,Mental Illness,0,30/06/2012
RN5,Mental Illness,0,30/06/2012
RNU,Mental Illness,441.78022,30/06/2012
RTH,Mental Illness,0,30/06/2012
RW1,Mental Illness,557.065934,30/06/2012
RWX,Mental Illness,215.505495,30/06/2012
R1F,Mental Illness,58.153846,30/06/2012
RD7,Mental Illness,0,30/06/2012
RD8,Mental Illness,0,30/06/2012
RHM,Mental Illness,0,30/06/2012
RHU,Mental Illness,0,30/06/2012
RHW,Mental Illness,0,30/06/2012
RXH,Mental Illness,0,30/06/2012
RXX,Mental Illness,287.186813,30/06/2012
RXY,Mental Illness,530.417582,30/06/2012
RYR,Mental Illness,0,30/06/2012
5CQ,Mental Illness,63,30/06/2012
R1C,Mental Illness,127,30/06/2012
RTK,Mental Illness,0,30/06/2012
RTP,Mental Illness,0,30/06/2012
RVV,Mental Illness,0,30/06/2012
RWF,Mental Illness,0,30/06/2012
RX2,Mental Illness,668.076923,30/06/2012
RXC,Mental Illness,0,30/06/2012
RA2,Mental Illness,0,30/06/2012
RDR,Mental Illness,0,30/06/2012
RDU,Mental Illness,0,30/06/2012
RN7,Mental Illness,0,30/06/2012
RPA,Mental Illness,0,30/06/2012
RPC,Mental Illness,0,30/06/2012
RVR,Mental Illness,0,30/06/2012
RWK,Mental Illness,662.131868,30/06/2012
RYJ,Mental Illness,0,30/06/2012
RYQ,Mental Illness,0,30/06/2012
RYX,Mental Illness,0,30/06/2012
TAF,Mental Illness,177,30/06/2012
RRV,Mental Illness,12,30/06/2012
RT3,Mental Illness,0,30/06/2012
RV3,Mental Illness,530,30/06/2012
RV5,Mental Illness,913,30/06/2012
RV8,Mental Illness,0,30/06/2012
RVL,Mental Illness,0,30/06/2012
RPG,Mental Illness,436.681319,30/06/2012
RPY,Mental Illness,0,30/06/2012
RQM,Mental Illness,0,30/06/2012
RQX,Mental Illness,0,30/06/2012
RQY,Mental Illness,444.043956,30/06/2012
RRP,Mental Illness,469.263736,30/06/2012
RJ7,Mental Illness,0,30/06/2012
RJZ,Mental Illness,0,30/06/2012
RKE,Mental Illness,12,30/06/2012
