Organisation_Code,Sector,Number_Of_Beds,Effective_Snapshot_Date
R1H,General & Acute,1311.347826,30/09/2020
R1K,General & Acute,685.228261,30/09/2020
RAL,General & Acute,682.347826,30/09/2020
RAN,General & Acute,84.98913,30/09/2020
RAP,General & Acute,380.945652,30/09/2020
RAS,General & Acute,239.478261,30/09/2020
RQX,Maternity,26.956522,30/09/2020
RQY,Maternity,0,30/09/2020
RRP,Maternity,0,30/09/2020
RRV,Maternity,46.728261,30/09/2020
RT3,Maternity,0,30/09/2020
RV3,Maternity,0,30/09/2020
RKE,Maternity,24.836957,30/09/2020
RKL,Maternity,0,30/09/2020
RP4,Maternity,0,30/09/2020
RP6,Maternity,0,30/09/2020
RPY,Maternity,0,30/09/2020
RQM,Maternity,43.880435,30/09/2020
RF4,Maternity,47.271739,30/09/2020
RJ1,Maternity,41.086957,30/09/2020
RJ2,Maternity,69.663043,30/09/2020
RJ6,Maternity,38.23913,30/09/2020
RJ7,Maternity,34.26087,30/09/2020
RJZ,Maternity,73.597826,30/09/2020
RAL,Maternity,31.402174,30/09/2020
RAN,Maternity,0,30/09/2020
RAP,Maternity,39.521739,30/09/2020
RAS,Maternity,14.978261,30/09/2020
RAT,Maternity,0,30/09/2020
RAX,Maternity,42.880435,30/09/2020
RXP,Learning Disabilities,0,30/09/2020
RY6,Learning Disabilities,0,30/09/2020
TAD,Learning Disabilities,2.641304,30/09/2020
TAH,Learning Disabilities,5.565217,30/09/2020
R1H,Maternity,113.913043,30/09/2020
R1K,Maternity,28.01087,30/09/2020
RWY,Learning Disabilities,0,30/09/2020
RX3,Learning Disabilities,80.684783,30/09/2020
RX4,Learning Disabilities,85.51087,30/09/2020
RXE,Learning Disabilities,0,30/09/2020
RXF,Learning Disabilities,0,30/09/2020
RXG,Learning Disabilities,17.01087,30/09/2020
RTD,Learning Disabilities,0,30/09/2020
RTF,Learning Disabilities,0,30/09/2020
RTR,Learning Disabilities,0,30/09/2020
RV9,Learning Disabilities,7.380435,30/09/2020
RVW,Learning Disabilities,0,30/09/2020
RWA,Learning Disabilities,0,30/09/2020
RHQ,Learning Disabilities,0,30/09/2020
RJL,Learning Disabilities,0,30/09/2020
RNN,Learning Disabilities,0,30/09/2020
RP5,Learning Disabilities,0,30/09/2020
RR7,Learning Disabilities,0,30/09/2020
RR8,Learning Disabilities,0,30/09/2020
RCD,Learning Disabilities,0,30/09/2020
RCF,Learning Disabilities,0,30/09/2020
RCU,Learning Disabilities,0,30/09/2020
RFF,Learning Disabilities,0,30/09/2020
RFR,Learning Disabilities,0,30/09/2020
RGD,Learning Disabilities,3.51087,30/09/2020
RXL,Learning Disabilities,0,30/09/2020
RXN,Learning Disabilities,0,30/09/2020
RXR,Learning Disabilities,0,30/09/2020
R0B,Learning Disabilities,0,30/09/2020
RAE,Learning Disabilities,0,30/09/2020
RCB,Learning Disabilities,0,30/09/2020
RW4,Learning Disabilities,92.369565,30/09/2020
RW5,Learning Disabilities,0,30/09/2020
RW6,Learning Disabilities,0,30/09/2020
RWJ,Learning Disabilities,0,30/09/2020
RWW,Learning Disabilities,0,30/09/2020
RXA,Learning Disabilities,20,30/09/2020
RMP,Learning Disabilities,0,30/09/2020
RRF,Learning Disabilities,0,30/09/2020
