Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Average_score,Likely_range_of_average_score,Segment,Trust_in_financial_deficit,Rank,Likely_range_of_rank
Q4 2025/26,South East,Mental health and community trust,Community,RYY,Kent Community Health NHS Foundation Trust,1.53,1.2 to 1.89,1.0,No,1.0,1 to 11
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RV3,Central and North West London NHS Foundation Trust,1.55,1.28 to 1.84,1.0,No,2.0,1 to 9
Q4 2025/26,North East and Yorkshire,Mental health and community trust,Mental Health and Learning Disability,RXG,South West Yorkshire Partnership NHS Foundation Trust,1.73,1.42 to 2.06,1.0,No,3.0,1 to 18
Q4 2025/26,London,Mental health and community trust,Community,RYX,Central London Community Healthcare NHS Trust,1.79,1.29 to 2.35,1.0,No,4.0,1 to 34
Q4 2025/26,North East and Yorkshire,Mental health and community trust,Mental Health and Learning Disability,RV9,Humber Teaching NHS Foundation Trust,1.79,1.34 to 2.32,1.0,No,4.0,1 to 32
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RKL,West London NHS Trust,1.88,1.62 to 2.1,1.0,No,6.0,3 to 21
Q4 2025/26,South East,Mental health and community trust,Community,RDR,Sussex Community NHS Foundation Trust,1.9,1.44 to 2.42,1.0,No,7.0,2 to 37
Q4 2025/26,East,Mental health and community trust,Community,RY3,Norfolk Community Health and Care NHS Trust,1.93,1.38 to 2.48,1.0,No,8.0,1 to 40
Q4 2025/26,East,Mental health and community trust,Community,RY4,Hertfordshire Community NHS Trust,1.97,1.54 to 2.41,1.0,No,9.0,3 to 38
Q4 2025/26,North West,Mental health and community trust,Community,RY7,Wirral Community Health and Care NHS Foundation Trust,1.98,1.28 to 2.78,1.0,No,10.0,1 to 50
Q4 2025/26,South East,Mental health and community trust,Mental Health and Learning Disability,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,2.01,1.64 to 2.39,1.0,No,11.0,4 to 37
Q4 2025/26,Midlands,Mental health and community trust,Mental Health and Learning Disability,RLY,North Staffordshire Combined Healthcare NHS Trust,2.01,1.51 to 2.56,1.0,No,11.0,2 to 43
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RV5,South London and Maudsley NHS Foundation Trust,2.01,1.6 to 2.47,1.0,No,11.0,3 to 39
Q4 2025/26,Midlands,Mental health and community trust,Mental Health and Learning Disability,RRE,Midlands Partnership University NHS Foundation Trust,2.02,1.53 to 2.55,1.0,No,14.0,2 to 43
Q4 2025/26,South East,Mental health and community trust,Mental Health and Learning Disability,RWX,Berkshire Healthcare NHS Foundation Trust,2.11,1.53 to 2.73,2.0,No,15.0,3 to 49
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RPG,Oxleas NHS Foundation Trust,2.11,1.66 to 2.59,2.0,No,15.0,5 to 45
Q4 2025/26,North East and Yorkshire,Mental health and community trust,Mental Health and Learning Disability,RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust",2.11,1.52 to 2.74,2.0,No,15.0,2 to 49
Q4 2025/26,East,Mental health and community trust,Community,RYV,Cambridgeshire Community Services NHS Trust,2.12,1.38 to 2.82,2.0,No,18.0,1 to 51
Q4 2025/26,Midlands,Mental health and community trust,Community,RY8,Derbyshire Community Health Services NHS Foundation Trust,2.12,1.43 to 2.85,2.0,No,18.0,1 to 52
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RWK,East London NHS Foundation Trust,2.12,1.8 to 2.4,2.0,No,18.0,7 to 38
Q4 2025/26,London,Mental health and community trust,Mental Health and Learning Disability,RAT,North East London NHS Foundation Trust,2.12,1.75 to 2.48,2.0,No,18.0,6 to 40
