ReportingPeriodStartDate,ReportingPeriodEndDate,Org_Code,DataTable,UID,DataItem,Valid_suppressed,Default_suppressed,Invalid_suppressed,Missing_suppressed,Denominator_suppressed
2026-04-01,2026-04-30,8EJ83,All,All,Organisation Submission,0,0,0,1,1
2026-04-01,2026-04-30,8HX13,All,All,Organisation Submission,1,0,0,0,1
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000010,DATA SET VERSION NUMBER,*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000040,PRIMARY DATA COLLECTION SYSTEM IN USE,*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000050,REPORTING PERIOD START DATE,*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000060,REPORTING PERIOD END DATE,*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000070,DATE AND TIME DATA SET CREATED,*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000080,ORGANISATION IDENTIFIER (CODE OF PROVIDER),*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,I000090,ORGANISATION IDENTIFIER (CODE OF SUBMITTING ORGANISATION),*,*,*,*,*
2026-04-01,2026-04-30,8HX13,IDS000 Header,IDS000,IDS000 Table Submission,1,0,0,0,1
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001040,NHS NUMBER,85,*,*,20,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001050,NHS NUMBER STATUS INDICATOR CODE (MENTAL HEALTH AND MATERNITY),105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001060,PERSON BIRTH DATE,105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001070,POSTCODE OF USUAL ADDRESS,105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001090,PERSON STATED GENDER CODE,105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001100,ETHNIC CATEGORY,95,10,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001120,LANGUAGE CODE (PREFERRED),50,*,*,55,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001130,EDUCATIONAL ESTABLISHMENT TYPE (IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES),*,*,*,105,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001140,EX-BRITISH ARMED FORCES INDICATOR,105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001150,ETHNIC CATEGORY 2021,*,*,*,105,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001160,GENDER IDENTITY CODE,105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001170,ORGANISATION IDENTIFIER (LOCAL PATIENT IDENTIFIER),105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001210,GENDER IDENTITY SAME AT BIRTH INDICATOR,*,105,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,I001901,LOCAL PATIENT IDENTIFIER (EXTENDED),105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS001 Master Patient Index,IDS001,IDS001 Table Submission,1,0,0,0,1
2026-04-01,2026-04-30,8HX13,IDS002 GP Practice Registration,I002010,GENERAL MEDICAL PRACTICE CODE (PATIENT REGISTRATION),105,*,*,*,105
2026-04-01,2026-04-30,8HX13,IDS002 GP Practice Registration,I002020,START DATE (GMP PATIENT REGISTRATION),*,*,*,105,105
