week,demand,capacity,backlog,workforce_availability_index,agency_spend_gbp,contacts_delivered,dna_rate,referrals_in_week,median_wait_days,long_wait_count,opt_c_referrals,dashboard_referrals
2026-W06,172,178,108,0.94,13200,165,0.07,35,10,8,33,36
2026-W07,175,179,112,0.93,13350,167,0.07,36,10,9,34,37
2026-W08,178,179,116,0.93,13500,168,0.08,36,11,10,34,37
2026-W09,182,180,121,0.92,13680,170,0.08,37,11,11,35,38
2026-W10,185,180,125,0.92,13875,172,0.08,38,11,12,36,39
2026-W11,188,182,131,0.91,13980,174,0.08,39,11,14,37,40
2026-W12,192,184,138,0.90,14100,176,0.09,40,12,16,38,41
2026-W13,196,186,146,0.89,14220,178,0.09,41,12,18,39,42
2026-W14,200,188,158,0.88,14370,180,0.09,42,12,22,40,43
2026-W15,202,190,168,0.87,14580,182,0.09,43,12,24,41,44
2026-W16,204,192,178,0.86,14760,184,0.10,43,12,26,42,45
2026-W17,206,194,192,0.86,14940,186,0.10,44,12,28,43,46
2026-W18,208,195,212,0.85,15180,188,0.10,45,12,32,44,47
2026-W19,212,197,228,0.84,15420,190,0.10,46,12,36,45,48
2026-W20,215,198,246,0.83,15690,192,0.11,47,12,40,46,49
2026-W21,218,200,264,0.82,15960,195,0.11,48,12,44,48,52
