team_code,week,available_hours,contacts_delivered,contacts_per_wte,wte_available,agency_spend_gbp,dna_count,cost_per_contact
AA-MH-NORTH-01,2026-W10,640,90,43,15.0,3200,7,35.56
AA-MH-NORTH-01,2026-W14,620,88,42,14.8,3300,8,37.50
AA-MH-NORTH-01,2026-W18,600,85,40,14.5,3400,9,40.00
AA-MH-NORTH-01,2026-W21,580,82,39,14.2,3500,10,42.68
AA-MH-SOUTH-01,2026-W10,560,78,42,14.0,3800,8,48.72
AA-MH-SOUTH-01,2026-W14,540,76,41,13.5,4000,9,52.63
AA-MH-SOUTH-01,2026-W18,525,74,39,13.2,4200,10,56.76
AA-MH-SOUTH-01,2026-W21,510,71,38,12.9,4400,11,61.97
AA-MH-EAST-01,2026-W10,520,72,39,13.0,2900,6,40.28
AA-MH-EAST-01,2026-W14,510,70,38,12.8,3000,7,42.86
AA-MH-EAST-01,2026-W18,500,69,37,12.6,3100,8,44.93
AA-MH-EAST-01,2026-W21,495,68,37,12.5,3200,8,47.06
AA-CRISIS-01,2026-W10,480,95,52,11.5,2100,5,22.11
AA-CRISIS-01,2026-W14,475,94,51,11.4,2150,5,22.87
AA-CRISIS-01,2026-W18,470,92,50,11.2,2200,6,23.91
AA-CRISIS-01,2026-W21,465,90,49,11.0,2250,6,25.00
AA-PCL-01,2026-W14,400,58,44,9.5,1800,4,31.03
AA-PCL-01,2026-W18,395,56,43,9.4,1850,4,33.04
AA-PCL-01,2026-W21,390,54,42,9.2,1900,5,35.19
