LedgerLineId,PostingDate,FinancialMonth,CostCentreCode,AccountCode,AccountDescription,SpendType,AmountGBP,Description,SourceDocumentRef
LW-00000001,2025-09-20,2025-09,CC-MH-210,6100,Agency nursing,pay,297.72,Demo posting Agency nursing,DEMO-INV-31664
LW-00000002,2025-09-11,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,704.16,Demo posting Medical supplies,DEMO-INV-93626
LW-00000003,2025-09-01,2025-09,CC-CORP-900,6100,Agency nursing,pay,2020.29,Demo posting Agency nursing,DEMO-INV-15134
LW-00000004,2025-09-03,2025-09,CC-MH-210,6200,Bank staff,pay,2368.1,Demo posting Bank staff,DEMO-INV-24787
LW-00000005,2025-09-08,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1600.29,Demo posting Medical supplies,DEMO-INV-24131
LW-00000006,2025-09-05,2025-09,CC-DEN-115,7200,Equipment,non-pay,1309.2,Demo posting Equipment,DEMO-INV-50196
LW-00000007,2025-09-17,2025-09,CC-URG-401,6100,Agency nursing,pay,1741.73,Demo posting Agency nursing,DEMO-INV-28738
LW-00000008,2025-09-02,2025-09,CC-CORP-900,7200,Equipment,non-pay,439.62,Demo posting Equipment,DEMO-INV-62075
LW-00000009,2025-09-11,2025-09,CC-MH-210,7100,Medical supplies,non-pay,189.31,Demo posting Medical supplies,DEMO-INV-95401
LW-00000010,2025-09-05,2025-09,CC-CORP-900,7200,Equipment,non-pay,244.4,Demo posting Equipment,DEMO-INV-97210
LW-00000011,2025-09-22,2025-09,CC-PAL-330,6200,Bank staff,pay,2211.46,Demo posting Bank staff,DEMO-INV-65853
LW-00000012,2025-09-17,2025-09,CC-PAL-330,6100,Agency nursing,pay,1275.01,Demo posting Agency nursing,DEMO-INV-61304
LW-00000013,2025-09-13,2025-09,CC-MH-210,6100,Agency nursing,pay,1501.64,Demo posting Agency nursing,DEMO-INV-36292
LW-00000014,2025-09-10,2025-09,CC-CORP-900,6100,Agency nursing,pay,667.61,Demo posting Agency nursing,DEMO-INV-92070
LW-00000015,2025-09-06,2025-09,CC-PAL-330,6200,Bank staff,pay,2385.76,Demo posting Bank staff,DEMO-INV-91726
LW-00000016,2025-09-23,2025-09,CC-PAL-330,6100,Agency nursing,pay,1900.38,Demo posting Agency nursing,DEMO-INV-65015
LW-00000017,2025-09-21,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,136.02,Demo posting Medical supplies,DEMO-INV-96138
LW-00000018,2025-09-10,2025-09,CC-PAL-330,7200,Equipment,non-pay,1078.22,Demo posting Equipment,DEMO-INV-19066
LW-00000019,2025-09-15,2025-09,CC-CORP-900,6100,Agency nursing,pay,1083.59,Demo posting Agency nursing,DEMO-INV-54129
LW-00000020,2025-09-14,2025-09,CC-DEN-115,7200,Equipment,non-pay,1428.98,Demo posting Equipment,DEMO-INV-85576
LW-00000021,2025-09-22,2025-09,CC-DEN-115,6100,Agency nursing,pay,1012.99,Demo posting Agency nursing,DEMO-INV-14704
LW-00000022,2025-09-18,2025-09,CC-DEN-115,6200,Bank staff,pay,1451.98,Demo posting Bank staff,DEMO-INV-68820
LW-00000023,2025-09-15,2025-09,CC-URG-401,6100,Agency nursing,pay,1023.84,Demo posting Agency nursing,DEMO-INV-78920
LW-00000024,2025-09-15,2025-09,CC-PAL-330,6100,Agency nursing,pay,2345.96,Demo posting Agency nursing,DEMO-INV-36638
LW-00000025,2025-09-05,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,217.72,Demo posting Medical supplies,DEMO-INV-28901
LW-00000026,2025-09-23,2025-09,CC-PAL-330,7200,Equipment,non-pay,734.7,Demo posting Equipment,DEMO-INV-92534
LW-00000027,2025-09-07,2025-09,CC-CORP-900,6200,Bank staff,pay,1391.29,Demo posting Bank staff,DEMO-INV-69277
LW-00000028,2025-09-20,2025-09,CC-PAL-330,7200,Equipment,non-pay,316.71,Demo posting Equipment,DEMO-INV-80899
LW-00000029,2025-09-06,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,965.19,Demo posting Medical supplies,DEMO-INV-70249
LW-00000030,2025-09-19,2025-09,CC-PAL-330,6100,Agency nursing,pay,232.49,Demo posting Agency nursing,DEMO-INV-68950
LW-00000031,2025-09-18,2025-09,CC-PAL-330,7200,Equipment,non-pay,1923.06,Demo posting Equipment,DEMO-INV-34506
LW-00000032,2025-09-19,2025-09,CC-URG-401,7200,Equipment,non-pay,403.19,Demo posting Equipment,DEMO-INV-71377
LW-00000033,2025-09-12,2025-09,CC-DEN-115,6200,Bank staff,pay,1798.77,Demo posting Bank staff,DEMO-INV-99576
LW-00000034,2025-09-07,2025-09,CC-PAL-330,7200,Equipment,non-pay,2103.65,Demo posting Equipment,DEMO-INV-70907
LW-00000035,2025-09-21,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,2049.49,Demo posting Medical supplies,DEMO-INV-31098
LW-00000036,2025-09-05,2025-09,CC-DEN-115,7200,Equipment,non-pay,431.6,Demo posting Equipment,DEMO-INV-63242
LW-00000037,2025-09-24,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,2401.71,Demo posting Medical supplies,DEMO-INV-72451
LW-00000038,2025-09-04,2025-09,CC-MH-210,7200,Equipment,non-pay,1649.5,Demo posting Equipment,DEMO-INV-30052
LW-00000039,2025-09-02,2025-09,CC-PAL-330,7200,Equipment,non-pay,618.35,Demo posting Equipment,DEMO-INV-11373
LW-00000040,2025-09-25,2025-09,CC-URG-401,6200,Bank staff,pay,824.04,Demo posting Bank staff,DEMO-INV-92364
LW-00000041,2025-09-18,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,1837.8,Demo posting Medical supplies,DEMO-INV-14193
LW-00000042,2025-09-13,2025-09,CC-MH-210,7100,Medical supplies,non-pay,858.98,Demo posting Medical supplies,DEMO-INV-51290
LW-00000043,2025-09-09,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,412.85,Demo posting Medical supplies,DEMO-INV-27227
LW-00000044,2025-09-03,2025-09,CC-URG-401,7200,Equipment,non-pay,2157.59,Demo posting Equipment,DEMO-INV-34927
LW-00000045,2025-09-09,2025-09,CC-URG-401,6200,Bank staff,pay,2171.63,Demo posting Bank staff,DEMO-INV-13060
LW-00000046,2025-09-04,2025-09,CC-PAL-330,6200,Bank staff,pay,278.59,Demo posting Bank staff,DEMO-INV-53941
LW-00000047,2025-09-12,2025-09,CC-MH-210,6100,Agency nursing,pay,1241.91,Demo posting Agency nursing,DEMO-INV-54053
LW-00000048,2025-09-27,2025-09,CC-CORP-900,7200,Equipment,non-pay,228.99,Demo posting Equipment,DEMO-INV-52995
LW-00000049,2025-09-30,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,1458.36,Demo posting Medical supplies,DEMO-INV-17929
LW-00000050,2025-09-27,2025-09,CC-CORP-900,6100,Agency nursing,pay,1262.26,Demo posting Agency nursing,DEMO-INV-90915
LW-00000051,2025-09-30,2025-09,CC-DEN-115,7200,Equipment,non-pay,606.67,Demo posting Equipment,DEMO-INV-67625
LW-00000052,2025-09-26,2025-09,CC-URG-401,6100,Agency nursing,pay,762.77,Demo posting Agency nursing,DEMO-INV-34632
LW-00000053,2025-09-30,2025-09,CC-PAL-330,6100,Agency nursing,pay,1940.5,Demo posting Agency nursing,DEMO-INV-41084
LW-00000054,2025-09-15,2025-09,CC-MH-210,6100,Agency nursing,pay,741.59,Demo posting Agency nursing,DEMO-INV-24979
LW-00000055,2025-09-14,2025-09,CC-DEN-115,7100,Medical supplies,non-pay,2089.11,Demo posting Medical supplies,DEMO-INV-14890
LW-00000056,2025-09-17,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,700.86,Demo posting Medical supplies,DEMO-INV-34567
LW-00000057,2025-09-07,2025-09,CC-URG-401,7200,Equipment,non-pay,1505.53,Demo posting Equipment,DEMO-INV-49822
LW-00000058,2025-09-12,2025-09,CC-MH-210,6100,Agency nursing,pay,826.86,Demo posting Agency nursing,DEMO-INV-28317
LW-00000059,2025-09-27,2025-09,CC-PAL-330,7100,Medical supplies,non-pay,1405.86,Demo posting Medical supplies,DEMO-INV-13784
LW-00000060,2025-09-14,2025-09,CC-CORP-900,7100,Medical supplies,non-pay,1826.52,Demo posting Medical supplies,DEMO-INV-97718
LW-00000061,2025-09-24,2025-09,CC-DEN-115,6100,Agency nursing,pay,732.79,Demo posting Agency nursing,DEMO-INV-82262
LW-00000062,2025-09-19,2025-09,CC-DEN-115,7200,Equipment,non-pay,2260.39,Demo posting Equipment,DEMO-INV-65318
LW-00000063,2025-09-07,2025-09,CC-CORP-900,6200,Bank staff,pay,908.07,Demo posting Bank staff,DEMO-INV-59976
LW-00000064,2025-09-05,2025-09,CC-MH-210,7200,Equipment,non-pay,2124.56,Demo posting Equipment,DEMO-INV-13123
LW-00000065,2025-09-24,2025-09,CC-URG-401,6200,Bank staff,pay,534.04,Demo posting Bank staff,DEMO-INV-37302
LW-00000066,2025-09-25,2025-09,CC-CORP-900,6200,Bank staff,pay,1678.13,Demo posting Bank staff,DEMO-INV-38816
LW-00000067,2025-09-02,2025-09,CC-DEN-115,6200,Bank staff,pay,1355.77,Demo posting Bank staff,DEMO-INV-75715
