ShiftId,SyntheticStaffId,ShiftDate,ShiftType,TeamCode,StartTime,EndTime,IsBankShift,UrgentCareFlag
RF-SH-00000001,DRH-STF-0106,2025-09-27,planned,PAL-HOME,07:00,18:00,N,N
RF-SH-00000002,DRH-STF-0022,2025-09-26,planned,DENT-UC,07:00,16:00,N,N
RF-SH-00000003,DRH-STF-0125,2025-09-23,worked,DENT-UC,09:00,21:00,N,N
RF-SH-00000004,DRH-STF-0106,2025-09-21,planned,PAL-HOME,08:00,20:00,N,N
RF-SH-00000005,DRH-STF-0021,2025-09-14,worked,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000006,DRH-STF-0040,2025-09-30,worked,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000007,DRH-STF-0079,2025-09-10,planned,DENT-UC,08:00,19:00,N,N
RF-SH-00000008,DRH-STF-0030,2025-09-15,planned,IUCS-CTR,08:00,16:00,N,Y
RF-SH-00000009,DRH-STF-0135,2025-09-10,planned,PAL-HOME,09:00,21:00,N,N
RF-SH-00000010,DRH-STF-0051,2025-09-02,worked,PAL-HOME,07:00,18:00,N,N
RF-SH-00000011,DRH-STF-0047,2025-09-02,worked,PAL-HOME,09:00,20:00,N,N
RF-SH-00000012,DRH-STF-0067,2025-09-04,planned,PAL-HOME,07:00,17:00,N,N
RF-SH-00000013,DRH-STF-0102,2025-09-30,worked,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000014,DRH-STF-0066,2025-09-20,planned,MH-CRHT,09:00,16:00,N,N
RF-SH-00000015,DRH-STF-0092,2025-09-29,worked,IUCS-CTR,08:00,20:00,N,Y
RF-SH-00000016,DRH-STF-0139,2025-09-27,planned,MH-CRHT,08:00,20:00,Y,N
RF-SH-00000017,DRH-STF-0001,2025-09-13,planned,IUCS-HUB,08:00,17:00,Y,Y
RF-SH-00000018,DRH-STF-0045,2025-09-18,planned,DENT-UC,08:00,16:00,N,N
RF-SH-00000019,DRH-STF-0016,2025-09-26,planned,IUCS-HUB,08:00,19:00,Y,Y
RF-SH-00000020,DRH-STF-0121,2025-09-30,planned,DENT-UC,09:00,17:00,N,N
RF-SH-00000021,DRH-STF-0006,2025-09-15,worked,PAL-HOME,09:00,19:00,N,N
RF-SH-00000022,DRH-STF-0039,2025-09-30,worked,MH-CRHT,09:00,19:00,N,N
RF-SH-00000023,DRH-STF-0107,2025-09-22,worked,MH-CRHT,09:00,20:00,N,N
RF-SH-00000024,DRH-STF-0115,2025-09-04,worked,MH-ACCESS,09:00,21:00,N,N
RF-SH-00000025,DRH-STF-0124,2025-09-30,planned,IUCS-HUB,09:00,17:00,N,Y
RF-SH-00000026,DRH-STF-0139,2025-09-05,planned,MH-CRHT,07:00,17:00,N,N
RF-SH-00000027,DRH-STF-0087,2025-09-29,planned,PAL-HOME,08:00,21:00,N,N
RF-SH-00000028,DRH-STF-0141,2025-09-04,worked,PAL-HOME,08:00,16:00,N,N
RF-SH-00000029,DRH-STF-0110,2025-09-29,planned,MH-CRHT,08:00,16:00,N,N
RF-SH-00000030,DRH-STF-0070,2025-09-18,planned,MH-ACCESS,08:00,21:00,N,N
RF-SH-00000031,DRH-STF-0020,2025-09-17,planned,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000032,DRH-STF-0030,2025-09-07,worked,IUCS-CTR,08:00,20:00,N,Y
RF-SH-00000033,DRH-STF-0014,2025-09-03,worked,IUCS-CTR,07:00,18:00,N,Y
RF-SH-00000034,DRH-STF-0016,2025-09-16,planned,IUCS-HUB,09:00,20:00,N,Y
RF-SH-00000035,DRH-STF-0019,2025-09-28,worked,MH-CRHT,08:00,17:00,N,N
RF-SH-00000036,DRH-STF-0140,2025-09-10,worked,IUCS-CTR,09:00,18:00,N,Y
RF-SH-00000037,DRH-STF-0036,2025-09-02,planned,IUCS-HUB,08:00,17:00,N,Y
RF-SH-00000038,DRH-STF-0001,2025-09-21,planned,IUCS-HUB,08:00,17:00,N,Y
RF-SH-00000039,DRH-STF-0056,2025-09-07,worked,PAL-HOME,07:00,16:00,N,N
RF-SH-00000040,DRH-STF-0125,2025-09-16,planned,DENT-UC,07:00,21:00,Y,N
RF-SH-00000041,DRH-STF-0133,2025-09-22,worked,PAL-HOME,08:00,21:00,Y,N
RF-SH-00000042,DRH-STF-0079,2025-09-29,planned,DENT-UC,07:00,17:00,N,N
RF-SH-00000043,DRH-STF-0024,2025-09-13,worked,MH-ACCESS,09:00,19:00,N,N
RF-SH-00000044,DRH-STF-0100,2025-09-03,planned,MH-ACCESS,08:00,19:00,N,N
RF-SH-00000045,DRH-STF-0139,2025-09-17,worked,MH-CRHT,08:00,17:00,N,N
RF-SH-00000046,DRH-STF-0009,2025-09-23,worked,MH-CRHT,07:00,17:00,N,N
RF-SH-00000047,DRH-STF-0128,2025-09-10,planned,IUCS-HUB,07:00,20:00,N,Y
RF-SH-00000048,DRH-STF-0120,2025-09-01,planned,MH-CRHT,07:00,20:00,N,N
RF-SH-00000049,DRH-STF-0124,2025-09-20,planned,IUCS-HUB,09:00,18:00,Y,Y
RF-SH-00000050,DRH-STF-0086,2025-09-18,planned,MH-ACCESS,08:00,19:00,N,N
RF-SH-00000051,DRH-STF-0140,2025-09-22,planned,IUCS-CTR,09:00,21:00,N,Y
RF-SH-00000052,DRH-STF-0021,2025-09-21,worked,IUCS-CTR,07:00,17:00,N,Y
RF-SH-00000053,DRH-STF-0004,2025-09-05,worked,IUCS-HUB,09:00,21:00,N,Y
RF-SH-00000054,DRH-STF-0088,2025-09-07,worked,IUCS-HUB,09:00,21:00,N,Y
RF-SH-00000055,DRH-STF-0083,2025-09-01,worked,MH-ACCESS,09:00,20:00,N,N
RF-SH-00000056,DRH-STF-0111,2025-09-03,worked,IUCS-HUB,09:00,21:00,N,Y
RF-SH-00000057,DRH-STF-0018,2025-09-25,planned,PAL-HOME,07:00,16:00,N,N
RF-SH-00000058,DRH-STF-0048,2025-09-05,planned,MH-CRHT,09:00,16:00,N,N
